authorId,name,aliases,citationCount,papers,fieldsOfStudy
4956027,O. Tibolla,"['O Tibolla', 'O. Tibolla', 'Omar Tibolla']",22382,,Physics
2064207810,A. Sarhan,"['Abed Sarhan', 'A. E. Sarhan']",8,,Computer Science
2143628073,Lei Huang,,8,,Medicine
3130103,Yevgen Matusevych,,146,,Psychology
40526243,L. Lazarević,"['L. J. B. Lazarević', 'Ljiljana B Lazarević', 'Ljiljana B. Lazarevic', 'Ljiljana Lazarević', 'Ljiljana B Lazarevic', 'Ljiljana B. Lazarević', 'Ljiljana Lazarevic']",6970,,Sociology
144694605,N. Andrade,"['N. F. Andrade', 'Nazareno Andrade']",1723,,Sociology
145954464,J. Anson,"['José Anson', 'José M. Ansón', 'J. M. Ansón', 'Jose Anson', 'José Ansón', 'J. M. Anson']",486,,Political Science
123343469,B. Lokshin,"['B. V. Lokshin', 'Boris Lokshin']",4750,,Psychology
46738098,Heiko Wissler,,248,,Medicine
49741871,S. Pastor,"['S Pastor', 'S. Pastor', 'Sergio Pastor']",11475,,Physics
2074090742,Malin Haugen,,25,,Physics
1808102,R. Orsini,"['R. Orsini', 'Renzo Orsini']",1297,,None
71166038,A. Marie,"['A Marie', 'Antoine Marie', 'Antoinette Marie']",144,,Sociology
145656551,Bilge Mutlu,"['B. Mutlu', 'B. Yalcin Mutlu', 'Batuhan Mutlu', 'Bilge Nur Mutlu']",8851,,Sociology
35058304,Alexander L. Gaunt,"['Alex Gaunt', 'Alexander Gaunt', 'Alexander L Gaunt']",2674,,Physics
5943347,D. A. Nguyen,"['D. A. Nguyen', 'Duong A. Nguyen', 'Duong Anh Nguyen']",78,,None
3437752,R. Koteeswaran,"['R Koteeswaran', 'Raja Koteeswaran', 'Rajasekara Koteeswaran', 'Rajasekaran Koteeswaran']",410,,None
116550701,Askar A. Darmenov,['Askar Darmenov'],13,,Political Science
2110680870,Ryan Lee,,154,,Psychology
84735174,F. Arnaudova,"['F. Arnaudova', 'Frosina Arnaudova']",1,,None
143913290,E. Magaña,"['E. Magana', 'E. Magaña', 'Eduardo Magana', 'Eduardo Magaña']",558,,None
2140287129,Hannah Kasak-Gliboff,,2,,None
151375597,C. Minoretti,"['Claudio Minoretti', 'C Minoretti']",0,,None
32592692,T. Hostler,"['Thomas Hostler', 'T Hostler', 'Thomas J Hostler', 'Thomas J. Hostler', 'Tom Hostler']",217,,Sociology
1878993,C. Bodine,"['C Bodine', 'C. Bodine', 'Cathy. Bodine', 'Cathy Bodine']",715,,Psychology
23604380,Kevin Hoefman,,77,,Political Science
1747736,S. Janzen,"['S. Janzen', 'Sabine Janzen']",167,,None
144627844,Naresh R Shanbhag,"['N. R. Shanbhag', 'N. Shanbhag', 'Naresh R. Shanbhag', 'Naresh Shanbhag']",8596,,Physics
1411041900,Franco Sancho-Esper,,4,,Psychology
145165884,Ángel Sánchez,"['Angel Sanchez', 'Angel Sánchez']",3788,,Sociology
2110961881,Ana Ferreira,['Ana Catarina Ortigosa Ferreira'],44,,Psychology
3469364,J. Brezmes,"['J Brezmes', 'J. Brezmes', 'Jesus Brezmes', 'Jesús Brezmes']",2961,,Physics
2076769181,Gregory Rosenblatt,['Gregory Rosenblatt'],66,,None
1808925,J. Hox,"['Joop J. Hox', 'J Hox', 'Joop J Hox', 'Joop J C M Hox', 'J. J. Vingerhoets Hox', 'Joop Hox', 'Joop J.j. Hox', 'J.j.c.m. Hox', 'J. J. Hox', 'Joop J.c.m. Hox', 'J J Hox']",21887,,Sociology
2059702963,Makoto Mizuno,,61,,Sociology
2910143,K. Axelsen,"['K Axelsen', 'Kristian B. Axelsen', 'K. B. Axelsen', 'Kristian B Axelsen', 'K B Axelsen', 'K. Axelsen', 'Kristian Buhl Axelsen', 'Kristian Axelsen']",18232,,None
143830815,A. Gomes,"['A. S. Gomes', 'A. S. L. Gomes']",8,,Medicine
3320510,H. Williams,"['Hannah Williams', 'Hannah J. Williams', 'Hannah J Williams', 'H J Williams', 'H. J. Williams']",645,,Philosophy
2265714,D. Matzke,"['D Matzke', 'D. Matzke', 'Dora Matzke', 'Dóra Matzke']",6731,,Sociology
47330383,A. Perillo,"['A. Perillo', 'Angelo Perillo', 'Angelo Massimo Perillo']",19,,Environmental Science
2179338516,Sarah Ariyan Sakha,,0,,Computer Science
153709709,Yanchen Wang,,284,,None
2197727841,Jacob Buchan,,0,,None
2054694496,Daniel J. Goldstein,"['Dan Goldstein', 'Daniel Goldstein']",11,,None
49916720,C. Perry,"['C Perry', 'C. Perry', 'Christina Perry']",1521,,None
2167471604,D. Kim,"['Duk-kyung Kim', 'Duk‐kyung Kim', 'Duk Kyung Kim']",310,,Medicine
144868066,S. Yazar,"['S. Yazar', 'Seyhan Yazar']",2946,,Psychology
2149519,G. Ierley,"['G. R. Ierley', 'Glenn Ierley', 'Glenn R Ierley', 'Glenn R. Ierley']",1396,,Physics
2817503,Pasi Kolinummi,['Pasi Kolinummi'],84,,None
48988699,E. Gilbert,"['E. Gilbert', 'Edwin Gilbert']",34,,Engineering
144923986,J. Carretero,"['Jesus Carretero', 'Jesús Carretero', 'J Carretero', 'J. Carretero', 'Jesus Ortiz Carretero']",2780,,Political Science
2110344541,Jennifer Lin,,143,,Political Science
145057418,S. Wrobel,"['S Wrobel', 'S. Wrobel', 'Stefan Wrobel']",7687,,Psychology
38115045,Sagar Joglekar,,281,,Psychology
1701084,Maryam A. Purvis,['Maryam Purvis'],1035,,Sociology
6663176,F. Imperi,"['F Imperi', 'Francesco 6 Imperi', 'Francesco Imperi']",3895,,Psychology
2221260,Saad Mahamood,,545,,None
90860851,Mariska van Essen,,6,,Psychology
1943370,M. Sirota,"['M. Sirota', 'Miroslav Sirota']",1521,,Psychology
145917603,M. Catalano,"['M Catalano', 'M. Catalano', 'Marco Catalano']",4319,,Psychology
